tweet_id_str,created_at,user_id_str,username,name,user_mentions,hashtags,location,lang,quote_count,views_count,favorite_count,reply_count,retweet_count,bookmark_count,media_url_https,tweet_url,relation_type,target_tweet_id_str,target_username,full_text
2016019176184586562,Tue Jan 27 12:23:22 +0700 2026,1839871,anwaribrahim,Anwar Ibrahim,-,#MalaysiaMADANI;#RancakkanMADANI;#MADANIBekerja,Malaysia,in,5,10736,252,12,62,3,https://pbs.twimg.com/amplify_video_thumb/2016019011528794112/img/6BNf6ydmQmXuCfzP.jpg,https://x.com/anwaribrahim/status/2016019176184586562,-,-,-,"Malaysia terus memperluas pasaran dan perdagangan, termasuk dalam LNG, minyak sawit, E&E, semikonduktor, aeroangkasa dan perabot.  Di Dewan Rakyat hari ini, saya maklumkan bahawa pada 2025, eksport menjana RM45.4 bilion melalui hubungan dengan lebih 10 negara utama, sementara jumlah perdagangan keseluruhan mencapai rekod tertinggi RM3.061 trilion, meningkat 6.3% berbanding 2024.  Kejayaan ini hasil dasar terbuka dan usaha menembusi 240 pasaran di seluruh dunia hatta membuktikan bahawa kita mampu menghadapi cabaran global dan terus mengekalkan momentum ekonomi negara.  #MalaysiaMADANI #RancakkanMADANI #MADANIBekerja"
2016870121336426725,Thu Jan 29 20:44:43 +0700 2026,1228468489511292928,BarisanOpOsisi,Novie Anwar,-,-,"Cibinong, Indonesia",in,133,189511,16733,189,7781,289,https://pbs.twimg.com/media/G_1cr_kbQAATG70.jpg,https://x.com/BarisanOpOsisi/status/2016870121336426725,-,-,-,"Urusan IKN belum kelar Whoosh belum kelar Bencana belum Kelar Sawit belum kelar Sekarang udah gabung zionist.   Kebanyakan banget gebrakannya sampe rakyat kewalahan.   *Sekian lama gagal jadi presiden, begitu jadi presiden gagal 🫣🫣😤😤 https://t.co/gzZTh1uXTM"
2017048892190445642,Fri Jan 30 08:35:05 +0700 2026,1040306964100669440,NenkMonica,𝕸𝖔𝖓𝖎𝖈𝖆 ᴼᶠᶠⁱᶜⁱᵃˡ,-,-,"Bandung, Indonesia",in,143,143861,6843,234,3615,148,https://pbs.twimg.com/ext_tw_video_thumb/2017048859114164226/pu/img/6OrsFCZ1bp21OmSN.jpg,https://x.com/NenkMonica/status/2017048892190445642,-,-,-,"Rumahnya direbut tuk sawit, ditembaki, dipasang ranjau paku besar, bahkan gajah kecil pun tertatih-tatih berlari.  Pelaku sabotase Taman Nasional Tesso Nilo melakukannya dengan sadar tanpa  rasa takut. https://t.co/vAxUOGkHHG"
2017075005939740970,Fri Jan 30 10:18:51 +0700 2026,843269533930405888,unmagnetism,unmag,-,-,-,in,42,261753,8357,155,1547,97,-,https://x.com/unmagnetism/status/2017075005939740970,quoted,2016482745422422311,forbitemeeee,ga semua kok ada juga yg suka sawit
2017042226573181063,Fri Jan 30 08:08:36 +0700 2026,1619899748387000322,islah_bahrawi,Islah Bahrawi,-,-,-,in,74,206435,6183,238,2781,288,-,https://x.com/islah_bahrawi/status/2017042226573181063,-,-,-,"Politikus Gokar tiba-tiba jadi hakim MK. Kepala Bappenas tiba-tiba bilang bahwa MBG lebih mendesak ketimbang lapangan kerja. Kamus Besar Bahasa Indonesia (KBBI) tiba-tiba mengubah definisi Sawit dari ""tanaman"" menjadi ""pohon"". Artinya, hutan yg dibabat tetap dikatakan hutan jika ditanam ""pohon sawit"".  Negara ini makin penuh tiba-tiba. Makin tidak tertebak arahnya. Hari ini kerja, besok tiba-tiba di PHK. Ratusan siswa paginya bertenaga tiba-tiba siangnya lemas, keracunan ""makanan bergizi"". Hebat banget negara kita.."
2017540766982410283,Sat Jan 31 17:09:37 +0700 2026,1643452401846996992,michieblues,nip,-,-,24 y.o,in,143,131538,9652,100,2599,114,-,https://x.com/michieblues/status/2017540766982410283,-,-,-,"jangan pernah kosongin pikiranmu, takut ntar ditanemin sawit"
2017521471871193161,Sat Jan 31 15:52:57 +0700 2026,1040306964100669440,NenkMonica,𝕸𝖔𝖓𝖎𝖈𝖆 ᴼᶠᶠⁱᶜⁱᵃˡ,-,-,"Bandung, Indonesia",in,16,31023,886,63,537,38,https://pbs.twimg.com/media/G_-tFiqbEAgBXFw.jpg,https://x.com/NenkMonica/status/2017521471871193161,-,-,-,"Skandal 'Pemutihan' Sawit dan Raibnya Potensi Negara Rp 380 Triliun  JAKARTA — Penggeledahan yang dilakukan Kejaksaan Agung (Kejagung) di kediaman mantan Menteri Lingkungan Hidup dan Kehutanan (LHK), Siti Nurbaya Bakar, bukan sekadar upaya paksa biasa. Operasi senyap yang dikonfirmasi pada Jumat (30/1/2026) ini diyakini sebagai kunci pembuka kotak pandora skandal tata kelola sawit terbesar dalam satu dekade terakhir.  Di balik dinding rumah sang mantan menteri, penyidik Jampidsus memburu jejak administrasi yang melegalkan jutaan hektare kebun sawit ilegal di dalam kawasan hutan—sebuah kebijakan yang dikenal dengan istilah ""pemutihan"".  ""Ada dugaan manipulasi data. Perusahaan yang murni merambah hutan tanpa izin, disulap seolah-olah memiliki izin lama agar dendanya murah. Selisih denda itulah yang menjadi kerugian negara dan bancakan oknum,"" ungkap sumber internal di lingkungan penyidikan."
2018227650054193603,Mon Feb 02 14:39:03 +0700 2026,929287558281830400,yaniarsim,¥@N'$,-,-,Indonesia,in,306,253489,15226,549,6497,358,https://pbs.twimg.com/ext_tw_video_thumb/2018227604852207616/pu/img/0kxoB00Hhs7-ARau.jpg,https://x.com/yaniarsim/status/2018227650054193603,-,-,-,Nangkep koruptor Pidato Ngasih bantuan Pidato Nolak bantuan Pidato Tanam sawit Pidato Dikritik....Pidato Marah...Pidato Ujung2nya......Hai antek2 asing Padahal dia sendiri antek asing. Dialah Prabowo Sawitanto  Giliran nambah utang 832 T diem2 bae https://t.co/xrNm7YtJlN
2018270438003179751,Mon Feb 02 17:29:04 +0700 2026,1282344685399240706,ceritatehfidy,𝐅𝐢𝐝𝐲.,-,-,-,in,67,200446,16503,106,5626,161,-,https://x.com/ceritatehfidy/status/2018270438003179751,quoted,2018233050484851128,tempodotco,"Stop bgt ga sih kl ngomong demi rakyat demi rakyat terus 😭 pak tolong itu bencana bencana aja dulu di selesaikan, jangan gila sawit gini 😭"
2018489615423053913,Tue Feb 03 08:00:00 +0700 2026,18129942,tempodotco,tempo.co,-,-,Indonesia,in,341,716544,1396,402,219,97,https://pbs.twimg.com/media/HAJ-n0vbYAAW6I8.jpg,https://x.com/tempodotco/status/2018489615423053913,-,-,-,"Prabowo: Kelapa Sawit Itu 'Miracle Crop', Tapi Ada Kelompok yang Nyinyir https://t.co/QyuLnqNSSp"
2018558430651588830,Tue Feb 03 12:33:27 +0700 2026,272817152,TaliUdeng,Sυɳαɳ Sαɾƙҽɱ 𝙎𝙑𝘿,-,-,Kasunanan Sarkem Tanpobusono,in,670,365965,12541,268,5586,776,https://pbs.twimg.com/media/HANcMaAaoAAWIXE.jpg,https://x.com/TaliUdeng/status/2018558430651588830,-,-,-,"Tahu ga ngaruhnya jika Sawit didefinisikan sebagai POHON dan BUKAN TUMBUHAN?  Secara ilmiah Sawit itu tumbuhan monokotil dan tidak berkayu, jadi jelas bukan pohon.  Dilihat dari segi hukum lebih salah lagi..jika dinamakan POHON maka jika hutan kita digunduli dan ditanam sawit itu bukan DEFORESTASI, krena ditanami ulang dengan POHON.  Segitunya cinta kepada Sawit.."
2019020622219903271,Wed Feb 04 19:10:02 +0700 2026,1240263293928755200,belovedkeju,Alen.,-,-,rps,in,0,1831,245,0,32,3,https://pbs.twimg.com/media/HAUAjVabAAAj0Sh.jpg,https://x.com/belovedkeju/status/2019020622219903271,-,-,-,aku cinta kalian berdua lebih dari wowo cinta sawit.... 😞 https://t.co/b4G0J7FvuA
2018946590640423399,Wed Feb 04 14:15:52 +0700 2026,182261760,indiratendi,indi,-,-,Indonesia,in,42,92969,5455,27,2854,184,-,https://x.com/indiratendi/status/2018946590640423399,quoted,2018558430651588830,TaliUdeng,"Lobinya sawit sampe ke badan bahasa, supaya nebang/bakar/buldozer hutan ga disebut sebagai deforestasi"
2019380745090003074,Thu Feb 05 19:01:02 +0700 2026,233905340,mandikecil,adnan,-,-,Kabupaten Semarang,in,413,520340,33253,381,11738,547,-,https://x.com/mandikecil/status/2019380745090003074,-,-,-,"Pemerintah kontol, MBG kontol, sawit kontol, hilirisasi nikel kontol, zionis kontol, dewasa kontol, cinta-cintaan kontol, mobile legends kontol"
2019714423313813943,Fri Feb 06 17:06:57 +0700 2026,159919812,Dandhy_Laksono,Dandhy Laksono,-,-,-,in,528,291328,15236,550,5448,384,https://pbs.twimg.com/media/HAd3j45bIAA-eG7.jpg,https://x.com/Dandhy_Laksono/status/2019714423313813943,-,-,-,"Orang waras justru waspada saat negara lain nyuruh kita gaspol sawit, jagung, dan tebu untuk biofuel. Atau nikel dan batubara.   Karena seharusnya dibaca begini:  ""Lu aja yang habisin hutan dan bonyok duluan, gih. Gue tinggal beli dari lu aja"". https://t.co/RkQMTrdvXh"
2020110331385639126,Sat Feb 07 19:20:09 +0700 2026,1478245047841660930,Dara_Cega,DARA GADIS BORNEO,-,-,"Kalimantan Barat, Indonesia",in,18,39460,4164,30,2092,61,https://pbs.twimg.com/ext_tw_video_thumb/2020110288062935041/pu/img/C9OrFZnu34NaJ_WL.jpg,https://x.com/Dara_Cega/status/2020110331385639126,-,-,-,"Kalimantan bukan tanah kosong untuk diganti sawit. Ini rumah orangutan yang pintar, bekantan yang unik, dan jutaan makhluk lain. Tangan-tangan di balik meja Jakarta, tolong sadar, kalau hutan ini habis, oksigen kita ikut susut. Hentikan niat merusak. https://t.co/0p4Pdwv0Cm"
